"region_id","region_code","region_label","3nmi_km2","eez_km2","3nmi_to_eez_km2","cf_prohib_3nmi_km2","cf_prohib_3nmi_pct","cf_prohib_eez_km2","cf_prohib_eez_pct","cf_prohib_3nmi_to_eez_km2","cf_prohib_3nmi_to_eez_pct","cf_prohib_or_restr_3nmi_km2","cf_prohib_or_restr_3nmi_pct","cf_prohib_or_restr_eez_km2","cf_prohib_or_restr_eez_pct","cf_prohib_or_restr_3nmi_to_eez_km2","cf_prohib_or_restr_3nmi_to_eez_pct","any_3nmi_km2","any_3nmi_pct","any_eez_km2","any_eez_pct","any_3nmi_to_eez_km2","any_3nmi_to_eez_pct"
1,"CA1","Northern California",3026.6871743,196982.669548,33876.0171819,103.755792632,3.42803159550165,104.5085524,0.0530546939179001,0.752635405632,0.0022217352222685,360.21749307,11.9013783825647,81883.6563598,41.5689646950626,12671.8341246,37.4065051878961,711.771277042,23.5165128093099,82660.2760287,41.9632225608343,13096.8994574,38.6612729208252
2,"CA2","Central California",4516.45299061,166753.347589,121378.364247,293.055910836,6.4886297155153,304.333895035,0.182505418592913,11.2808679327,0.00929396931873616,856.906294471,18.9729926615546,35748.5404429,21.4379746852279,33473.6372075,27.5779274297868,2775.65578225,61.4565409630249,47020.4664612,28.1976147052185,42827.0514953,35.2839254021818
3,"CA3","Southern California",6660.28363484,207611.004689,105153.364911,698.840179997,10.4926489367714,813.556944748,0.391866002462973,114.716597012,0.10909455642156,2947.14805286,44.2495877719598,58014.2442238,27.9437230751351,32099.4350329,30.5263032334423,3154.06872083,47.3563723972811,58437.9281261,28.1477989153993,32316.1982692,30.7324433189103
4,"OR","Oregon",3758.47132088,173413.631223,21177.2044616,4.49004576838,0.119464680851382,4.49004576838,0.00258921154969995,,,7.70964175779,0.205127060966502,142371.838436,82.0995658945161,821.997538256,3.88152052716167,87.9040709012,2.33882510724116,142452.032863,82.1458104869593,821.997538256,3.88152052716167
5,"WA","Washington",7522.18214639,76577.1066614,10386.4446772,15.7656657706,0.209588992446376,15.7656657706,0.0205879621964706,,,2182.2204371,29.0104705606907,59337.7399523,77.487571076135,3013.64453683,29.0151695839237,2489.95511193,33.1014998503455,59688.163144,77.9451793705426,3052.97322705,29.3938236031025
6,"CA","California",14203.42379975,571347.021826,260407.7463399,1095.651883465,7.71399839160108,1222.399392183,0.213950426883519,126.750100350332,0.0486737058063127,4164.271840401,29.3187888998588,175646.4410265,30.7425144993566,78244.906365,30.0470732782542,6641.495780122,46.7598226579629,188118.670616,32.9254662104969,88240.1492219,33.8853780128044
7,"CCO","California Current Ocean",25484.07726702,821337.7597104,291971.3954787,1115.90759500398,4.37884245645465,1242.65510372198,0.15129647809692,126.750100350332,0.0434118212650659,6354.20191925879,24.9340082149336,377356.0194148,45.94407294118,82080.548440086,28.1125307859393,9219.3549629532,36.1769228147976,390258.866623,47.5150280148576,92115.119987206,31.5493645657237
